id,produit,categorie,ville,prix,quantite,montant_total,date
4825,Scanner,Bureautique,Kenitra,1216,18,21888,2026-02-21
4826,Disque SSD 1To,Stockage,Rabat,1146,3,3438,2026-02-14
4827,Ordinateur portable,Informatique,Mohammedia,9609,5,48045,2026-05-11
4828,Ordinateur portable,Informatique,Oujda,10004,7,70028,2026-01-02
4829,Ordinateur portable,Informatique,Marrakech,7803,20,156060,2026-03-10
4830,Routeur WiFi,Reseau,Mohammedia,790,14,11060,2026-05-10
4831,Switch 24 ports,Reseau,Laayoune,2485,1,2485,2026-01-25
4832,Clavier mecanique,Accessoires,Settat,427,15,6405,2026-04-28
4833,Souris sans fil,Accessoires,Beni Mellal,139,5,695,2026-04-19
4834,Serveur NAS,Stockage,Oujda,6660,16,106560,2026-02-01
4835,Projecteur,Bureautique,Rabat,5887,18,105966,2026-05-22
4836,Webcam HD,Accessoires,Dakhla,455,13,5915,2026-05-13
4837,Ecran 24 pouces,Informatique,Casablanca,1890,2,3780,2026-04-01
4838,Switch 24 ports,Reseau,Tanger,2201,20,44020,2026-04-03
4839,Onduleur,Bureautique,Nador,1291,6,7746,2026-05-11
4840,Serveur NAS,Stockage,Kenitra,5307,13,68991,2026-03-25
4841,Serveur NAS,Stockage,Nador,6577,16,105232,2026-02-17
4842,Ecran 24 pouces,Informatique,Meknes,2046,1,2046,2026-04-29
4843,Scanner,Bureautique,Tanger,1154,3,3462,2026-01-20
4844,Tablette graphique,Informatique,Meknes,1396,18,25128,2026-02-26
4845,Projecteur,Bureautique,Oujda,5224,2,10448,2026-04-14
4846,Casque audio,Accessoires,Dakhla,351,17,5967,2026-03-20
4847,Ordinateur portable,Informatique,Tanger,8905,16,142480,2026-01-23
4848,Routeur WiFi,Reseau,Rabat,825,18,14850,2026-03-25
4849,Ecran 24 pouces,Informatique,Kenitra,1651,3,4953,2026-02-11
4850,Ecran 24 pouces,Informatique,Errachidia,2093,7,14651,2026-05-05
4851,Clavier mecanique,Accessoires,Oujda,454,13,5902,2026-01-02
4852,Serveur NAS,Stockage,Tanger,7007,6,42042,2026-01-28
4853,Switch 24 ports,Reseau,Oujda,1929,18,34722,2026-05-24
4854,Disque SSD 1To,Stockage,El Jadida,1004,18,18072,2026-04-28
4855,Clavier mecanique,Accessoires,Oujda,495,10,4950,2026-02-17
4856,Webcam HD,Accessoires,Laayoune,476,7,3332,2026-05-16
4857,Serveur NAS,Stockage,Marrakech,6869,20,137380,2026-01-19
4858,Ecran 24 pouces,Informatique,Marrakech,2003,1,2003,2026-03-10
4859,Clavier mecanique,Accessoires,Dakhla,509,2,1018,2026-02-13
4860,Ecran 24 pouces,Informatique,Tanger,1691,19,32129,2026-02-01
4861,Souris sans fil,Accessoires,Safi,136,20,2720,2026-05-07
4862,Projecteur,Bureautique,Taza,5895,8,47160,2026-04-12
4863,Disque SSD 1To,Stockage,Settat,1267,9,11403,2026-01-13
4864,Routeur WiFi,Reseau,Laayoune,851,2,1702,2026-03-24
4865,Onduleur,Bureautique,Kenitra,1323,20,26460,2026-04-26
4866,Clavier mecanique,Accessoires,Casablanca,522,4,2088,2026-05-01
4867,Webcam HD,Accessoires,Rabat,405,5,2025,2026-03-30
4868,Ecran 24 pouces,Informatique,Fes,1540,8,12320,2026-03-13
4869,Ecran 24 pouces,Informatique,Safi,2029,16,32464,2026-03-06
4870,Casque audio,Accessoires,Taza,419,7,2933,2026-03-20
4871,Switch 24 ports,Reseau,Rabat,2279,18,41022,2026-01-01
4872,Ecran 24 pouces,Informatique,Mohammedia,2084,5,10420,2026-03-21
4873,Scanner,Bureautique,Errachidia,1268,12,15216,2026-03-26
4874,Projecteur,Bureautique,El Jadida,4504,16,72064,2026-03-21
4875,Switch 24 ports,Reseau,Nador,2107,13,27391,2026-03-20
4876,Souris sans fil,Accessoires,Errachidia,113,8,904,2026-02-23
4877,Ordinateur portable,Informatique,Tetouan,9663,18,173934,2026-01-27
4878,Scanner,Bureautique,Taza,1486,20,29720,2026-05-20
4879,Imprimante laser,Bureautique,Beni Mellal,2613,10,26130,2026-04-16
4880,Casque audio,Accessoires,Rabat,406,14,5684,2026-04-24
4881,Ordinateur portable,Informatique,El Jadida,10080,19,191520,2026-04-11
4882,Disque SSD 1To,Stockage,Kenitra,1207,16,19312,2026-04-11
4883,Clavier mecanique,Accessoires,Kenitra,530,12,6360,2026-01-25
4884,Serveur NAS,Stockage,El Jadida,5332,5,26660,2026-01-25
4885,Casque audio,Accessoires,Casablanca,413,19,7847,2026-02-10
4886,Imprimante laser,Bureautique,Mohammedia,2228,8,17824,2026-03-12
4887,Ecran 24 pouces,Informatique,Casablanca,2029,9,18261,2026-04-26
4888,Ordinateur portable,Informatique,Agadir,7479,19,142101,2026-02-26
4889,Tablette graphique,Informatique,Agadir,1664,10,16640,2026-02-13
4890,Souris sans fil,Accessoires,Meknes,140,11,1540,2026-03-08
4891,Webcam HD,Accessoires,Mohammedia,359,15,5385,2026-03-20
4892,Projecteur,Bureautique,Taza,4464,16,71424,2026-05-14
4893,Ordinateur portable,Informatique,Rabat,10131,10,101310,2026-03-08
4894,Scanner,Bureautique,Tanger,1239,11,13629,2026-03-09
4895,Ecran 24 pouces,Informatique,Laayoune,1979,2,3958,2026-04-30
4896,Ecran 24 pouces,Informatique,Marrakech,1605,5,8025,2026-03-11
4897,Switch 24 ports,Reseau,Mohammedia,2059,6,12354,2026-04-29
4898,Scanner,Bureautique,Rabat,1376,17,23392,2026-02-16
4899,Onduleur,Bureautique,Oujda,1717,13,22321,2026-01-21
4900,Routeur WiFi,Reseau,Dakhla,739,13,9607,2026-05-29
4901,Clavier mecanique,Accessoires,Marrakech,400,5,2000,2026-03-09
4902,Casque audio,Accessoires,Oujda,299,20,5980,2026-04-07
4903,Imprimante laser,Bureautique,Tetouan,2231,14,31234,2026-05-24
4904,Casque audio,Accessoires,Laayoune,301,5,1505,2026-03-06
4905,Tablette graphique,Informatique,El Jadida,1489,7,10423,2026-04-03
4906,Imprimante laser,Bureautique,Agadir,2089,19,39691,2026-02-05
4907,Switch 24 ports,Reseau,Beni Mellal,2113,2,4226,2026-03-30
4908,Tablette graphique,Informatique,Dakhla,1523,19,28937,2026-05-21
4909,Projecteur,Bureautique,Fes,4497,5,22485,2026-04-29
4910,Imprimante laser,Bureautique,Oujda,2637,4,10548,2026-02-19
4911,Tablette graphique,Informatique,Settat,1799,4,7196,2026-04-21
4912,Webcam HD,Accessoires,Errachidia,442,10,4420,2026-02-26
4913,Webcam HD,Accessoires,Dakhla,377,7,2639,2026-02-10
4914,Webcam HD,Accessoires,Safi,396,3,1188,2026-03-16
4915,Imprimante laser,Bureautique,Safi,2507,16,40112,2026-04-21
4916,Ordinateur portable,Informatique,Dakhla,9840,8,78720,2026-04-01
4917,Webcam HD,Accessoires,Oujda,386,14,5404,2026-01-23
4918,Disque SSD 1To,Stockage,Mohammedia,1060,15,15900,2026-02-05
4919,Imprimante laser,Bureautique,Agadir,2300,13,29900,2026-04-04
4920,Clavier mecanique,Accessoires,Tanger,527,11,5797,2026-02-04
4921,Switch 24 ports,Reseau,Safi,1984,9,17856,2026-03-04
4922,Onduleur,Bureautique,Meknes,1439,6,8634,2026-05-14
4923,Projecteur,Bureautique,Beni Mellal,5188,19,98572,2026-04-03
4924,Clavier mecanique,Accessoires,Nador,477,16,7632,2026-02-23
4925,Ecran 24 pouces,Informatique,Beni Mellal,1751,5,8755,2026-03-12
4926,Switch 24 ports,Reseau,Settat,1831,12,21972,2026-04-28
4927,Souris sans fil,Accessoires,Mohammedia,112,12,1344,2026-03-07
4928,Clavier mecanique,Accessoires,Oujda,487,4,1948,2026-05-01
4929,Ordinateur portable,Informatique,Mohammedia,9694,18,174492,2026-03-15
4930,Scanner,Bureautique,Tetouan,1535,19,29165,2026-01-12
4931,Webcam HD,Accessoires,Dakhla,463,11,5093,2026-05-20
4932,Casque audio,Accessoires,Fes,306,18,5508,2026-04-28
4933,Serveur NAS,Stockage,Taza,7053,12,84636,2026-02-22
4934,Ecran 24 pouces,Informatique,Casablanca,1532,7,10724,2026-04-07
4935,Switch 24 ports,Reseau,Settat,2170,17,36890,2026-02-02
4936,Switch 24 ports,Reseau,Beni Mellal,2114,1,2114,2026-04-08
4937,Souris sans fil,Accessoires,Errachidia,117,14,1638,2026-01-11
4938,Serveur NAS,Stockage,Marrakech,5870,17,99790,2026-04-12
4939,Imprimante laser,Bureautique,Dakhla,2600,5,13000,2026-01-19
4940,Ecran 24 pouces,Informatique,Laayoune,1835,20,36700,2026-04-21
4941,Disque SSD 1To,Stockage,Oujda,1111,16,17776,2026-05-09
4942,Scanner,Bureautique,Taza,1517,20,30340,2026-02-22
4943,Imprimante laser,Bureautique,Laayoune,2667,17,45339,2026-05-26
4944,Casque audio,Accessoires,Fes,381,15,5715,2026-02-09
4945,Routeur WiFi,Reseau,Taza,752,18,13536,2026-03-08
4946,Ordinateur portable,Informatique,Meknes,7874,13,102362,2026-05-22
4947,Ecran 24 pouces,Informatique,Oujda,1657,9,14913,2026-05-14
4948,Scanner,Bureautique,Mohammedia,1125,9,10125,2026-01-13
4949,Souris sans fil,Accessoires,Tanger,115,1,115,2026-01-28
4950,Serveur NAS,Stockage,Errachidia,5684,7,39788,2026-03-15
4951,Imprimante laser,Bureautique,Agadir,2106,14,29484,2026-04-05
4952,Imprimante laser,Bureautique,Kenitra,2072,19,39368,2026-01-13
4953,Souris sans fil,Accessoires,Nador,108,18,1944,2026-04-06
4954,Webcam HD,Accessoires,Agadir,390,4,1560,2026-01-11
4955,Souris sans fil,Accessoires,Fes,113,19,2147,2026-03-08
4956,Casque audio,Accessoires,Dakhla,349,4,1396,2026-05-15
4957,Scanner,Bureautique,Rabat,1407,1,1407,2026-01-02
4958,Onduleur,Bureautique,Dakhla,1675,5,8375,2026-04-24
4959,Serveur NAS,Stockage,Oujda,5463,3,16389,2026-02-04
4960,Clavier mecanique,Accessoires,Kenitra,384,8,3072,2026-04-20
4961,Clavier mecanique,Accessoires,Kenitra,508,16,8128,2026-04-30
4962,Souris sans fil,Accessoires,Tanger,126,11,1386,2026-02-04
4963,Routeur WiFi,Reseau,Safi,689,5,3445,2026-02-01
4964,Casque audio,Accessoires,Dakhla,408,12,4896,2026-05-15
4965,Souris sans fil,Accessoires,Settat,138,11,1518,2026-02-14
4966,Disque SSD 1To,Stockage,El Jadida,978,8,7824,2026-05-18
4967,Projecteur,Bureautique,Tetouan,4679,18,84222,2026-04-05
4968,Onduleur,Bureautique,El Jadida,1296,16,20736,2026-05-24
4969,Disque SSD 1To,Stockage,El Jadida,1202,8,9616,2026-01-16
4970,Tablette graphique,Informatique,Tetouan,1405,9,12645,2026-02-02
4971,Clavier mecanique,Accessoires,Beni Mellal,512,9,4608,2026-03-30
4972,Ecran 24 pouces,Informatique,Settat,1861,6,11166,2026-02-18
4973,Tablette graphique,Informatique,Tetouan,1656,3,4968,2026-05-16
4974,Casque audio,Accessoires,Nador,300,19,5700,2026-01-17
4975,Onduleur,Bureautique,Tanger,1302,5,6510,2026-01-14
4976,Webcam HD,Accessoires,Tanger,433,5,2165,2026-01-21
4977,Projecteur,Bureautique,Mohammedia,5771,4,23084,2026-03-30
4978,Scanner,Bureautique,Agadir,1536,16,24576,2026-02-25
4979,Onduleur,Bureautique,Dakhla,1281,7,8967,2026-04-16
4980,Webcam HD,Accessoires,Marrakech,383,8,3064,2026-05-30
4981,Souris sans fil,Accessoires,El Jadida,125,11,1375,2026-02-04
4982,Ecran 24 pouces,Informatique,Kenitra,1616,4,6464,2026-04-11
4983,Routeur WiFi,Reseau,Safi,722,13,9386,2026-04-05
4984,Tablette graphique,Informatique,Nador,1530,4,6120,2026-02-12
4985,Serveur NAS,Stockage,Tetouan,6639,14,92946,2026-04-01
4986,Routeur WiFi,Reseau,Safi,718,17,12206,2026-05-10
4987,Switch 24 ports,Reseau,Oujda,2465,2,4930,2026-01-19
4988,Routeur WiFi,Reseau,Casablanca,779,14,10906,2026-03-15
4989,Casque audio,Accessoires,Marrakech,367,12,4404,2026-04-03
4990,Serveur NAS,Stockage,Fes,6428,5,32140,2026-05-06
4991,Clavier mecanique,Accessoires,El Jadida,388,4,1552,2026-01-30
4992,Serveur NAS,Stockage,Safi,5294,12,63528,2026-03-28
4993,Casque audio,Accessoires,Safi,384,10,3840,2026-05-11
4994,Webcam HD,Accessoires,Oujda,439,2,878,2026-03-24
4995,Projecteur,Bureautique,Fes,6003,10,60030,2026-01-04
4996,Serveur NAS,Stockage,Rabat,5935,12,71220,2026-05-15
4997,Webcam HD,Accessoires,Oujda,441,20,8820,2026-05-25
4998,Routeur WiFi,Reseau,Dakhla,660,7,4620,2026-04-02
4999,Serveur NAS,Stockage,Settat,5316,14,74424,2026-01-22
5000,Ordinateur portable,Informatique,Nador,10093,12,121116,2026-04-08
5001,Projecteur,Bureautique,Safi,4557,18,82026,2026-01-01
5002,Switch 24 ports,Reseau,El Jadida,2516,14,35224,2026-03-15
5003,Tablette graphique,Informatique,El Jadida,1472,20,29440,2026-03-17
5004,Scanner,Bureautique,Laayoune,1294,15,19410,2026-05-16
5005,Routeur WiFi,Reseau,Settat,661,17,11237,2026-04-07
5006,Imprimante laser,Bureautique,Settat,2746,12,32952,2026-01-15
5007,Routeur WiFi,Reseau,Casablanca,738,8,5904,2026-05-02
5008,Tablette graphique,Informatique,Errachidia,1826,7,12782,2026-02-08
5009,Switch 24 ports,Reseau,Casablanca,2192,13,28496,2026-04-13
5010,Casque audio,Accessoires,Marrakech,391,12,4692,2026-01-31
5011,Routeur WiFi,Reseau,Marrakech,740,8,5920,2026-03-18
5012,Serveur NAS,Stockage,Nador,5715,20,114300,2026-04-06
5013,Clavier mecanique,Accessoires,Oujda,433,6,2598,2026-05-20
5014,Clavier mecanique,Accessoires,Tanger,526,5,2630,2026-03-15
5015,Projecteur,Bureautique,Safi,5491,18,98838,2026-04-26
5016,Disque SSD 1To,Stockage,Laayoune,1054,2,2108,2026-02-26
5017,Tablette graphique,Informatique,Meknes,1512,5,7560,2026-02-26
5018,Webcam HD,Accessoires,El Jadida,461,5,2305,2026-03-01
5019,Souris sans fil,Accessoires,El Jadida,102,17,1734,2026-03-12
5020,Projecteur,Bureautique,Settat,4468,19,84892,2026-04-27
5021,Onduleur,Bureautique,Casablanca,1487,3,4461,2026-02-26
5022,Tablette graphique,Informatique,Nador,1736,9,15624,2026-03-25
5023,Imprimante laser,Bureautique,Marrakech,2045,11,22495,2026-03-28
5024,Webcam HD,Accessoires,Rabat,500,12,6000,2026-02-01
5025,Onduleur,Bureautique,Beni Mellal,1358,9,12222,2026-04-16
5026,Disque SSD 1To,Stockage,Mohammedia,1141,3,3423,2026-04-23
5027,Ecran 24 pouces,Informatique,Rabat,1586,10,15860,2026-05-15
5028,Imprimante laser,Bureautique,El Jadida,2141,11,23551,2026-03-13
5029,Clavier mecanique,Accessoires,Nador,526,6,3156,2026-01-15
5030,Clavier mecanique,Accessoires,Beni Mellal,425,4,1700,2026-04-18
5031,Imprimante laser,Bureautique,El Jadida,2447,19,46493,2026-05-31
5032,Webcam HD,Accessoires,Marrakech,404,8,3232,2026-04-17
5033,Souris sans fil,Accessoires,Beni Mellal,117,9,1053,2026-03-10
5034,Onduleur,Bureautique,Casablanca,1415,18,25470,2026-01-05
5035,Routeur WiFi,Reseau,Rabat,658,11,7238,2026-01-15
5036,Scanner,Bureautique,Dakhla,1337,1,1337,2026-03-21
5037,Souris sans fil,Accessoires,Agadir,139,2,278,2026-02-28
5038,Switch 24 ports,Reseau,Oujda,1816,1,1816,2026-03-29
5039,Casque audio,Accessoires,Casablanca,393,9,3537,2026-04-04
5040,Webcam HD,Accessoires,Rabat,478,14,6692,2026-01-19
5041,Ecran 24 pouces,Informatique,Agadir,1767,2,3534,2026-02-06
5042,Tablette graphique,Informatique,Meknes,1613,15,24195,2026-05-06
5043,Webcam HD,Accessoires,Mohammedia,391,13,5083,2026-01-08
5044,Ecran 24 pouces,Informatique,Tetouan,1660,18,29880,2026-05-03
5045,Ecran 24 pouces,Informatique,Taza,2097,4,8388,2026-03-04
5046,Switch 24 ports,Reseau,Fes,2307,16,36912,2026-01-01
5047,Webcam HD,Accessoires,Oujda,458,5,2290,2026-05-13
5048,Onduleur,Bureautique,Kenitra,1408,12,16896,2026-04-06
5049,Ordinateur portable,Informatique,Oujda,9503,18,171054,2026-05-04
5050,Scanner,Bureautique,Dakhla,1236,6,7416,2026-02-03
5051,Webcam HD,Accessoires,Tetouan,461,13,5993,2026-03-11
5052,Tablette graphique,Informatique,Mohammedia,1728,6,10368,2026-03-03
5053,Casque audio,Accessoires,Fes,399,6,2394,2026-03-19
5054,Webcam HD,Accessoires,Nador,483,11,5313,2026-02-12
5055,Routeur WiFi,Reseau,Settat,653,6,3918,2026-02-01
5056,Clavier mecanique,Accessoires,Oujda,524,20,10480,2026-04-07
5057,Onduleur,Bureautique,Laayoune,1468,13,19084,2026-02-28
5058,Routeur WiFi,Reseau,Oujda,711,8,5688,2026-04-02
5059,Projecteur,Bureautique,Rabat,4748,3,14244,2026-02-21
5060,Souris sans fil,Accessoires,Dakhla,116,1,116,2026-04-15
5061,Souris sans fil,Accessoires,Marrakech,115,2,230,2026-04-29
5062,Onduleur,Bureautique,Mohammedia,1552,19,29488,2026-01-07
5063,Scanner,Bureautique,Casablanca,1306,13,16978,2026-05-10
5064,Tablette graphique,Informatique,Dakhla,1687,14,23618,2026-04-28
5065,Imprimante laser,Bureautique,Casablanca,2171,10,21710,2026-03-07
5066,Disque SSD 1To,Stockage,Fes,1295,8,10360,2026-04-11
5067,Switch 24 ports,Reseau,Kenitra,2320,1,2320,2026-04-24
5068,Onduleur,Bureautique,Rabat,1301,16,20816,2026-01-11
5069,Imprimante laser,Bureautique,El Jadida,2504,1,2504,2026-02-28
5070,Clavier mecanique,Accessoires,Oujda,407,6,2442,2026-01-06
5071,Tablette graphique,Informatique,Taza,1794,15,26910,2026-01-29
5072,Clavier mecanique,Accessoires,Settat,404,2,808,2026-04-27
5073,Souris sans fil,Accessoires,Beni Mellal,109,7,763,2026-01-15
5074,Ordinateur portable,Informatique,Settat,8663,15,129945,2026-03-08
5075,Switch 24 ports,Reseau,Mohammedia,2315,7,16205,2026-03-10
5076,Clavier mecanique,Accessoires,Nador,394,19,7486,2026-02-11
5077,Scanner,Bureautique,Settat,1277,19,24263,2026-04-10
5078,Tablette graphique,Informatique,Safi,1477,2,2954,2026-02-09
5079,Casque audio,Accessoires,Nador,418,13,5434,2026-04-11
5080,Imprimante laser,Bureautique,Settat,2719,12,32628,2026-01-05
5081,Casque audio,Accessoires,Meknes,417,5,2085,2026-02-26
5082,Tablette graphique,Informatique,Settat,1382,4,5528,2026-02-09
5083,Scanner,Bureautique,Tetouan,1503,9,13527,2026-01-30
5084,Switch 24 ports,Reseau,El Jadida,2332,18,41976,2026-02-08
5085,Ordinateur portable,Informatique,Settat,9450,7,66150,2026-01-22
5086,Routeur WiFi,Reseau,Tetouan,758,13,9854,2026-03-27
5087,Routeur WiFi,Reseau,Errachidia,665,13,8645,2026-03-12
5088,Scanner,Bureautique,Rabat,1236,15,18540,2026-04-26
5089,Scanner,Bureautique,Oujda,1334,4,5336,2026-02-14
5090,Onduleur,Bureautique,Nador,1269,8,10152,2026-04-13
5091,Projecteur,Bureautique,Kenitra,5956,13,77428,2026-01-13
5092,Ecran 24 pouces,Informatique,Marrakech,1716,12,20592,2026-04-03
5093,Disque SSD 1To,Stockage,Oujda,971,3,2913,2026-05-27
5094,Scanner,Bureautique,Dakhla,1391,17,23647,2026-03-20
5095,Projecteur,Bureautique,Beni Mellal,5457,6,32742,2026-03-25
5096,Tablette graphique,Informatique,Casablanca,1446,10,14460,2026-01-16
5097,Tablette graphique,Informatique,Tanger,1555,20,31100,2026-03-23
5098,Onduleur,Bureautique,Dakhla,1689,2,3378,2026-01-01
5099,Souris sans fil,Accessoires,Laayoune,119,10,1190,2026-05-13
5100,Disque SSD 1To,Stockage,Safi,1261,3,3783,2026-03-13
5101,Souris sans fil,Accessoires,Settat,126,12,1512,2026-03-29
5102,Scanner,Bureautique,Kenitra,1394,4,5576,2026-05-01
5103,Ordinateur portable,Informatique,Nador,7789,13,101257,2026-02-04
5104,Onduleur,Bureautique,Dakhla,1639,10,16390,2026-01-01
5105,Serveur NAS,Stockage,Fes,5958,7,41706,2026-03-28
5106,Clavier mecanique,Accessoires,Casablanca,396,10,3960,2026-02-20
5107,Serveur NAS,Stockage,Agadir,5749,5,28745,2026-01-19
5108,Clavier mecanique,Accessoires,Dakhla,450,20,9000,2026-05-10
5109,Ecran 24 pouces,Informatique,Oujda,1752,18,31536,2026-01-11
5110,Ordinateur portable,Informatique,Tetouan,8451,11,92961,2026-05-06
5111,Webcam HD,Accessoires,Dakhla,481,5,2405,2026-04-11
5112,Scanner,Bureautique,El Jadida,1472,19,27968,2026-02-14
5113,Routeur WiFi,Reseau,Mohammedia,824,3,2472,2026-04-29
5114,Tablette graphique,Informatique,Mohammedia,1577,6,9462,2026-04-17
5115,Ordinateur portable,Informatique,Mohammedia,7592,8,60736,2026-04-04
5116,Clavier mecanique,Accessoires,Settat,537,9,4833,2026-04-21
5117,Souris sans fil,Accessoires,Errachidia,102,2,204,2026-05-18
5118,Casque audio,Accessoires,Taza,346,13,4498,2026-05-22
5119,Serveur NAS,Stockage,Taza,7142,9,64278,2026-05-08
5120,Onduleur,Bureautique,Agadir,1402,19,26638,2026-01-06
5121,Tablette graphique,Informatique,Casablanca,1771,10,17710,2026-05-05
5122,Onduleur,Bureautique,Agadir,1353,2,2706,2026-02-01
5123,Disque SSD 1To,Stockage,Meknes,1054,5,5270,2026-04-30
5124,Souris sans fil,Accessoires,Fes,119,4,476,2026-01-25
5125,Onduleur,Bureautique,Errachidia,1674,15,25110,2026-01-31
5126,Imprimante laser,Bureautique,Beni Mellal,2453,13,31889,2026-05-21
5127,Webcam HD,Accessoires,El Jadida,398,10,3980,2026-01-10
5128,Switch 24 ports,Reseau,Fes,2457,18,44226,2026-01-29
5129,Serveur NAS,Stockage,Rabat,5413,16,86608,2026-03-06
5130,Souris sans fil,Accessoires,Kenitra,132,15,1980,2026-01-25
5131,Onduleur,Bureautique,Tetouan,1661,15,24915,2026-04-04
5132,Ordinateur portable,Informatique,Laayoune,7626,8,61008,2026-01-13
5133,Webcam HD,Accessoires,Settat,480,14,6720,2026-05-25
5134,Disque SSD 1To,Stockage,Taza,1071,2,2142,2026-05-09
5135,Tablette graphique,Informatique,Agadir,1680,13,21840,2026-02-06
5136,Clavier mecanique,Accessoires,Agadir,449,3,1347,2026-02-17
5137,Switch 24 ports,Reseau,Oujda,2388,12,28656,2026-05-27
5138,Projecteur,Bureautique,Errachidia,5487,13,71331,2026-04-27
5139,Souris sans fil,Accessoires,Nador,108,20,2160,2026-01-20
5140,Disque SSD 1To,Stockage,Nador,948,13,12324,2026-05-01
5141,Webcam HD,Accessoires,Oujda,457,15,6855,2026-03-09
5142,Webcam HD,Accessoires,Fes,502,20,10040,2026-02-07
5143,Scanner,Bureautique,Settat,1478,10,14780,2026-02-10
5144,Clavier mecanique,Accessoires,Mohammedia,453,15,6795,2026-03-03
5145,Ordinateur portable,Informatique,Agadir,9263,1,9263,2026-04-12
5146,Routeur WiFi,Reseau,Errachidia,805,20,16100,2026-05-22
5147,Ordinateur portable,Informatique,Taza,9055,12,108660,2026-02-27
5148,Projecteur,Bureautique,Beni Mellal,4956,3,14868,2026-03-05
5149,Webcam HD,Accessoires,Nador,472,16,7552,2026-01-19
5150,Switch 24 ports,Reseau,Settat,2171,7,15197,2026-03-05
5151,Switch 24 ports,Reseau,Taza,2494,1,2494,2026-04-30
5152,Disque SSD 1To,Stockage,Dakhla,945,8,7560,2026-04-21
5153,Scanner,Bureautique,Errachidia,1365,12,16380,2026-01-06
5154,Ecran 24 pouces,Informatique,Tanger,1671,16,26736,2026-02-16
5155,Imprimante laser,Bureautique,Tanger,2032,7,14224,2026-04-26
5156,Switch 24 ports,Reseau,Rabat,2402,19,45638,2026-04-23
5157,Routeur WiFi,Reseau,Rabat,688,17,11696,2026-01-23
5158,Casque audio,Accessoires,Fes,379,3,1137,2026-05-30
5159,Serveur NAS,Stockage,Laayoune,6122,4,24488,2026-02-03
5160,Imprimante laser,Bureautique,Oujda,1994,8,15952,2026-03-29
5161,Imprimante laser,Bureautique,El Jadida,2268,16,36288,2026-01-03
5162,Ecran 24 pouces,Informatique,Agadir,1771,1,1771,2026-03-27
5163,Casque audio,Accessoires,Mohammedia,306,7,2142,2026-03-08
5164,Souris sans fil,Accessoires,Agadir,114,17,1938,2026-01-15
5165,Projecteur,Bureautique,El Jadida,4765,2,9530,2026-02-18
5166,Ecran 24 pouces,Informatique,Nador,1738,8,13904,2026-04-03
5167,Souris sans fil,Accessoires,Nador,120,14,1680,2026-01-21
5168,Souris sans fil,Accessoires,Rabat,119,7,833,2026-03-07
5169,Switch 24 ports,Reseau,Marrakech,2319,14,32466,2026-03-17
5170,Casque audio,Accessoires,Taza,370,12,4440,2026-04-15
5171,Webcam HD,Accessoires,Kenitra,385,13,5005,2026-05-26
5172,Switch 24 ports,Reseau,Kenitra,1970,6,11820,2026-05-03
5173,Souris sans fil,Accessoires,Tetouan,143,4,572,2026-01-27
5174,Casque audio,Accessoires,Marrakech,413,9,3717,2026-03-31
5175,Ordinateur portable,Informatique,Rabat,7622,20,152440,2026-01-26
5176,Tablette graphique,Informatique,El Jadida,1859,2,3718,2026-02-19
5177,Webcam HD,Accessoires,Dakhla,469,14,6566,2026-04-13
5178,Tablette graphique,Informatique,Dakhla,1625,18,29250,2026-03-14
5179,Scanner,Bureautique,Errachidia,1203,19,22857,2026-05-14
5180,Switch 24 ports,Reseau,Taza,2147,14,30058,2026-04-19
5181,Souris sans fil,Accessoires,Fes,127,2,254,2026-01-16
5182,Ecran 24 pouces,Informatique,Settat,1564,10,15640,2026-04-28
5183,Scanner,Bureautique,Agadir,1418,5,7090,2026-05-13
5184,Ecran 24 pouces,Informatique,Casablanca,1791,2,3582,2026-03-27
5185,Ecran 24 pouces,Informatique,Beni Mellal,2047,8,16376,2026-05-17
5186,Projecteur,Bureautique,Taza,5240,15,78600,2026-03-16
5187,Switch 24 ports,Reseau,Nador,2305,17,39185,2026-02-15
5188,Onduleur,Bureautique,Tetouan,1721,17,29257,2026-05-01
5189,Scanner,Bureautique,Marrakech,1384,10,13840,2026-03-19
5190,Switch 24 ports,Reseau,Oujda,2021,9,18189,2026-02-13
5191,Souris sans fil,Accessoires,Casablanca,126,12,1512,2026-04-06
5192,Serveur NAS,Stockage,Errachidia,5669,17,96373,2026-03-07
5193,Serveur NAS,Stockage,Taza,7391,19,140429,2026-02-17
5194,Serveur NAS,Stockage,Oujda,7435,5,37175,2026-04-02
5195,Casque audio,Accessoires,El Jadida,397,11,4367,2026-03-11
5196,Ecran 24 pouces,Informatique,Rabat,1837,8,14696,2026-05-26
5197,Projecteur,Bureautique,Tanger,5384,3,16152,2026-02-15
5198,Clavier mecanique,Accessoires,Taza,470,5,2350,2026-05-30
5199,Switch 24 ports,Reseau,Beni Mellal,2137,7,14959,2026-01-21
5200,Switch 24 ports,Reseau,Meknes,2358,16,37728,2026-02-10
5201,Ordinateur portable,Informatique,Meknes,7456,16,119296,2026-02-19
5202,Ordinateur portable,Informatique,Tetouan,9385,2,18770,2026-03-22
5203,Tablette graphique,Informatique,Taza,1760,14,24640,2026-04-19
5204,Switch 24 ports,Reseau,Casablanca,2321,20,46420,2026-05-23
5205,Ecran 24 pouces,Informatique,Kenitra,1587,20,31740,2026-03-21
5206,Scanner,Bureautique,Safi,1303,17,22151,2026-03-16
5207,Imprimante laser,Bureautique,Mohammedia,2271,15,34065,2026-02-12
